,Lines,Diag Lines,Squares,Rectangles,Junctions L,Junctions T,Junctions Cross,Junctions Total
Lines,1.0,0.4147822455376137,0.15799661464928205,0.09121351847910127,0.5579427336193128,0.42512903082456815,0.219869814104047,0.3883211391370241
Diag Lines,0.4147822455376137,0.9999999999999983,0.5715424669756095,0.40842292803920976,0.8121884104307684,0.8973384076515954,0.6817363185482019,0.8426781265900578
Squares,0.15799661464928205,0.5715424669756095,1.0,0.9487302714438146,0.5375885335761601,0.6735356253223758,0.9612017492287225,0.8647765796370113
Rectangles,0.09121351847910127,0.40842292803920976,0.9487302714438146,0.9999999999999988,0.3695417674675969,0.4865260791106253,0.8414103763538902,0.7019695743148772
Junctions L,0.5579427336193128,0.8121884104307684,0.5375885335761601,0.3695417674675969,0.9999999999999999,0.804873490906684,0.625120264836284,0.836926049939112
Junctions T,0.42512903082456815,0.8973384076515954,0.6735356253223758,0.4865260791106253,0.804873490906684,1.0,0.7789124991380737,0.9227142317571159
Junctions Cross,0.219869814104047,0.6817363185482019,0.9612017492287225,0.8414103763538902,0.625120264836284,0.7789124991380737,0.9999999999999963,0.9385032026004118
Junctions Total,0.3883211391370241,0.8426781265900578,0.8647765796370113,0.7019695743148772,0.836926049939112,0.9227142317571159,0.9385032026004118,0.9999999999999997
