,Lines,Diag Lines,Squares,Rectangles,Junctions L,Junctions T,Junctions Cross,Junctions Total
Lines,1.0,0.2826169132437376,0.32981417040366806,0.29933456166388,0.3997218345670681,0.4193295253891999,0.3183299772003169,0.4082802819836443
Diag Lines,0.2826169132437376,0.9999999999999958,0.5451643027548211,0.5992174127632679,0.47193823949116653,0.7261454801293213,0.6718472527593126,0.4966130603818032
Squares,0.32981417040366806,0.5451643027548211,1.0,0.7108203112008232,0.6081407604209252,0.6378613572960784,0.6180523219003172,0.5837480776192094
Rectangles,0.29933456166388,0.5992174127632679,0.7108203112008232,1.0,0.4642106268787676,0.692236939621131,0.7386352547108823,0.4458471967400086
Junctions L,0.3997218345670681,0.47193823949116653,0.6081407604209252,0.4642106268787676,0.9999999999999925,0.5424164411464016,0.45147311220665604,0.9581117682985116
Junctions T,0.4193295253891999,0.7261454801293213,0.6378613572960784,0.692236939621131,0.5424164411464016,1.0,0.6429822695707382,0.5747322581080891
Junctions Cross,0.3183299772003169,0.6718472527593126,0.6180523219003172,0.7386352547108823,0.45147311220665604,0.6429822695707382,0.9999999999999944,0.4605731290070435
Junctions Total,0.4082802819836443,0.4966130603818032,0.5837480776192094,0.4458471967400086,0.9581117682985116,0.5747322581080891,0.4605731290070435,1.0
