Model,MRR,Top-1,Top-5,Top-10,IO_Accuracy,MW_p_value,Feature Set
Model 1 (52-dim),0.6591651279539166,0.578088578088578,0.7610722610722611,0.8123543123543123,0.27505827505827507,0.0,Connectivity Only
Model 1 (52-dim),0.7862002727023442,0.7331002331002331,0.8461538461538461,0.8776223776223776,0.40326340326340326,0.0,Expanded Only
Model 1 (52-dim),0.8130652484565044,0.7622377622377622,0.8682983682983683,0.8951048951048951,0.3962703962703963,0.0,Combined
Model 2 (102-dim),0.6591651279539166,0.578088578088578,0.7610722610722611,0.8123543123543123,0.27505827505827507,0.0,Connectivity Only
Model 2 (102-dim),0.772017229420947,0.7261072261072261,0.8193473193473193,0.8578088578088578,0.4289044289044289,0.0,Expanded Only
Model 2 (102-dim),0.7950104709379043,0.7517482517482518,0.8414918414918415,0.872960372960373,0.4428904428904429,0.0,Combined
Model 3 (202-dim),0.6591651279539166,0.578088578088578,0.7610722610722611,0.8123543123543123,0.27505827505827507,0.0,Connectivity Only
Model 3 (202-dim),0.7863289488280164,0.7284382284382285,0.8531468531468531,0.8881118881118881,0.4125874125874126,0.0,Expanded Only
Model 3 (202-dim),0.802365216136754,0.7482517482517482,0.8589743589743589,0.8904428904428905,0.4149184149184149,0.0,Combined
